institution,Institution,prev_year,revision_year,delta_pcsi,direction,comparability,timing_tier,event_year,usable_documentary_pair,n_pre_panel_years,n_post_panel_years,limited_post_support_flag,confidence,review_note
Portland State University,Portland State University,1997.0,2015,-0.3733344086001294,down,N,C,,False,4,5,False,high,"Earlier record is an informational revenue/licensing overview; later record is Oregon higher-education Division 43 rules, not the same governing document."
University of Wisconsin Madison,University of Wisconsin-Madison,2008.0,2022,-0.3054528707529762,down,N,A,2022.0,False,3,1,True,high,Earlier record is WARF royalty-income sharing only; later record is UW-4008 research IP policy. Later policy states a 2022 revision date.
Texas A&M University System,Texas A&M University System,2001.0,2006,-0.293190337398171,down,C,A,2006.0,True,3,6,False,high,"Both records are System Policy 17.01 Intellectual Properties; later policy explicitly says revised May 26, 2006."
University of Wisconsin Madison,University of Wisconsin-Madison,2005.0,2008,0.2349518368761905,up,N,B,2008.0,False,4,2,False,high,Earlier record is UW-4008 IP policy; later record is a WARF royalty-sharing schedule effective for 2008 license agreements.
Colorado State University,Colorado State University,2000.0,2007,0.1732870421132598,up,P,C,,False,4,6,False,medium,Both concern CSU patent/copyright governance but are differently scoped policy sections; no usable adoption/revision date is printed for the later IP section.
Baylor College of Medicine,Baylor College of Medicine,1995.0,2001,-0.1626088741887665,down,N,B,2001.0,False,4,6,False,medium,Earlier record is a licensing-revenue topic page; later record is the formal Inventions and Patents policy dated 2001.
New Mexico State University,New Mexico State University,1993.0,2013,-0.1405243632304512,down,N,C,,False,4,1,True,high,"Earlier record is an IP/patent policy; later record is the university-wide policy manual, the manuscript's canonical non-comparable case type."
Arizona State University,Arizona State University,2007.0,2018,-0.1335465425894043,down,N,C,,False,4,6,False,high,"Earlier record is an annual intellectual-property royalties audit report, not a policy. Later ABOR IP policy lists intervening revisions before 2018."
California Institute of Technology,California Institute of Technology,1968.0,1998,0.1259578797203948,up,N,C,,False,4,6,False,high,Earlier record is the Institute patent policy; later record is the separate Copyright and Software Policy.
University of Virginia,University of Virginia,2016.0,2021,0.12573661675,up,N,A,2021.0,False,4,3,False,high,"Earlier record is a revenue-distribution schedule; later record is the Patent Policy, which reports a July 2021 revision."
University of Chicago,University of Chicago,2002.0,2018,0.1126655405419581,up,N,C,,False,4,4,False,high,Earlier record is a license-revenue-sharing policy; later record is a broader basic-policies/statutes document rather than the same IP policy.
Michigan State University,Michigan State University,1998.0,2001,-0.0954484226275758,down,N,A,2001.0,False,4,6,False,high,Earlier record is a U.S. GAO Bayh-Dole report rather than an MSU policy; later MSU policy reports a February 2001 revision.
Emory University,Emory University,1990.0,2002,-0.0865548820985871,down,P,C,,False,4,6,False,high,"Patent policy is followed by a broader Emory IP policy, but the later file reports effective 2002 and last revision 2007, so the scored text is not a clean 2002 successor version."
California Institute of Technology,California Institute of Technology,2007.0,2023,-0.0805722955552733,down,N,C,,False,4,1,True,high,"Earlier record is Caltech Copyright and Software Policy; later record is mixed/general research/faculty-policy material, not the same governing IP document."
Rutgers the State University of NJ,Rutgers the State University of NJ,2008.0,2013,-0.0804423696293706,down,N,C,,False,4,6,False,high,Earlier record is a patents/publications/confidentiality guide; later material mixes legacy UMDNJ/Rutgers legal policies and is not the same governing document.
University of Illinois at Urbana-Champaign,University of Illinois Urbana Champaign,2006.0,2023,-0.0770559194510941,down,N,C,,False,3,1,True,high,"Earlier record is an IP-policy summary; later record is the university-wide General Rules document, not the same IP policy."
Thomas Jefferson University,Thomas Jefferson University,1998.0,2000,-0.0718727001912638,down,P,A,2000.0,True,4,1,True,medium,Earlier corpus record contains patent/tangible-research-property policy material; later record is a shorter patent/copyright/licensing policy summary. Documents are two years apart.
Rice University,Rice University,1999.0,2023,-0.0670630708741242,down,C,C,,False,4,1,True,high,"Both records are Policy 333 / the Rice IP policy, but the later policy history documents multiple intervening revisions before and during 2023."
Ball State University,Ball State University,2008.0,2013,-0.0647016335568739,down,P,B,2013.0,True,1,1,True,medium,"Earlier record is an FAQ describing the university IP policy; later record is the formal revised IP/technology policy, approved February 2013, without a predecessor revision chain."
University of Houston,University of Houston,1997.0,2007,-0.0529782913778409,down,C,C,,False,3,6,False,high,"The records contain highly similar University/System intellectual-property policy text, but the later document does not state a usable adoption/revision date."
University of Pittsburgh,University of Pittsburgh,2005.0,2021,0.0528089026490183,up,P,A,2021.0,True,4,3,False,high,2005 patent-rights policy is followed by the broader 2021 IP policy; the latter gives an April 2021 effective date and explicitly identifies the 2005 patent policy as a predecessor.
University of Arkansas Fayetteville,University of Arkansas,1986.0,2001,-0.0501471011436858,down,C,A,2001.0,True,4,5,False,high,Both are Board Policy 210.1 Patent and Copyright Policy; the later record explicitly lists the October 2001 revision and prior 1986 revision.
Georgia Institute of Technology,Georgia Institute of Technology,1997.0,2002,-0.0500361851414919,down,P,C,,False,4,6,False,high,Earlier record is the IP-policy section; later record is the full Faculty Handbook. The handbook version date does not establish adoption of the IP section.
University of Akron,University of Akron,2002.0,2015,0.0458094448853322,up,P,C,,False,4,6,False,medium,Earlier record is Research Foundation guidelines/procedures; later record is the university research/copyright/patent rule. Related governance but no usable later adoption date is shown.
